7048;CARY;SMOOTH ASPHALT;DRY;;CLEAR;2013-02-21 15:45:00+00:00;2013
7049;CARY;;;;CLOUDY;2013-02-15 19:11:52+00:00;2013
7058;1100 FEET FROM CARPENTER UPCHURCH RD;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-02-22 15:53:00+00:00;2013
7060;.10 MILES FROM JAMES JACKSON AVE;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-02-22 18:41:55+00:00;2013
7069;.14 MILES FROM GREEN LEVEL CHURCH RD;SMOOTH ASPHALT;WET;DARK - ROADWAY NOT LIGHTED;CLOUDY;2013-02-24 05:06:00+00:00;2013
7070;10 FEET FROM US 1;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-02-23 19:45:40+00:00;2013
7071;250 FEET FROM PVA 3655 SW CARY PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-24 22:02:49+00:00;2013
7077;178 FEET FROM CHAPEL HILL RD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-21 22:21:05+00:00;2013
7086;CARY;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-23 19:45:40+00:00;2013
7087;10 FEET FROM KINGSTON RIDGE RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-25 15:06:00+00:00;2013
7091;15 FEET FROM SPRUCE ST;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-02-26 13:11:51+00:00;2013
7093;75 FEET FROM 151 SE CARY PKWY;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-26 17:12:00+00:00;2013
7094;350 FEET FROM E CHATHAM ST;SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;CLEAR;2013-02-27 01:14:41+00:00;2013
7099;600 FEET FROM US 1 HWY;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-26 18:03:42+00:00;2013
7103;0 FEET FROM CHAPELL HILL RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-27 21:16:02+00:00;2013
7117;0 FEET FROM CARPENTER UPCHURCH RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-28 13:56:38+00:00;2013
7121;.10 MILES FROM E CHATHAM ST;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-04 03:27:00+00:00;2013
7122;.1 MILES FROM MAYNARD RD;COARSE ASPHALT;DRY;DUSK;CLEAR;2013-03-04 03:43:00+00:00;2013
7124;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-01 22:09:58+00:00;2013
7129;400 FEET FROM CROSSROADS BLVD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-02 22:17:29+00:00;2013
7135;25 FEET FROM PVA OF 100 CRESCENT COMMONS DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-01 13:09:40+00:00;2013
7139;40 FEET FROM 1117 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-01 23:38:34+00:00;2013
7140;50 FEET FROM PVA OF 1801 N. HARRISON AVE;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-02 16:54:00+00:00;2013
7141;20 FEET FROM TRINITY RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-02 17:43:00+00:00;2013
7143;.25 MILES FROM US 1 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-01 20:38:44+00:00;2013
7145;.2 MILES FROM PVA 801 HIGH HOUSE RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-02 17:04:00+00:00;2013
7147;33 FEET FROM 638 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-01 16:23:00+00:00;2013
7149;CARY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-28 17:15:00+00:00;2013
7155;350 FEET FROM 2817 JONES FRANKLIN RD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-05 00:42:03+00:00;2013
7167;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-04 22:09:51+00:00;2013
